Power,Current,Voltage,Shunt,Freq,Util,WorkMode
193.9,39.0,4.98,3.9,240,25,noop_test.csv
206.1,41.29,4.98,4.16,240,25,noop_test.csv
193.9,39.0,4.98,3.91,240,25,noop_test.csv
205.37,41.5,4.98,4.11,240,25,noop_test.csv
195.12,39.0,4.98,3.98,240,25,noop_test.csv
207.07,41.29,4.98,3.91,240,25,noop_test.csv
193.9,39.0,4.98,4.02,240,25,noop_test.csv
203.9,41.79,4.98,3.9,240,25,noop_test.csv
194.15,39.0,4.98,4.07,240,25,noop_test.csv
203.41,41.6,4.97,3.91,240,25,noop_test.csv
195.37,39.79,4.98,4.1,240,25,noop_test.csv
200.24,41.0,4.98,3.9,240,25,noop_test.csv
196.59,39.7,4.97,4.12,240,25,noop_test.csv
197.8,41.0,4.97,3.9,240,25,noop_test.csv
199.02,39.0,4.98,4.1,240,25,noop_test.csv
196.1,40.4,4.97,3.9,240,25,noop_test.csv
201.46,39.0,4.98,4.12,240,25,noop_test.csv
195.12,39.9,4.98,3.9,240,25,noop_test.csv
202.68,39.2,4.98,4.13,240,25,noop_test.csv
193.9,39.5,4.97,3.9,240,25,noop_test.csv
204.15,39.5,4.97,4.16,240,25,noop_test.csv
193.9,39.29,4.98,3.9,240,25,noop_test.csv
203.9,39.9,4.98,4.15,240,25,noop_test.csv
194.15,39.1,4.98,3.9,240,25,noop_test.csv
204.15,40.29,4.97,4.14,240,25,noop_test.csv
193.9,39.29,4.98,3.91,240,25,noop_test.csv
203.9,40.79,4.98,4.12,240,25,noop_test.csv
193.9,39.1,4.97,3.9,240,25,noop_test.csv
203.9,41.0,4.98,4.14,240,25,noop_test.csv
193.9,39.1,4.97,3.9,240,25,noop_test.csv
205.12,41.1,4.97,4.12,240,25,noop_test.csv
193.9,39.0,4.98,3.9,240,25,noop_test.csv
205.85,41.0,4.97,4.18,240,25,noop_test.csv
193.41,39.0,4.98,3.91,240,25,noop_test.csv
205.37,41.6,4.98,3.99,240,25,noop_test.csv
197.8,39.0,4.98,3.92,240,25,noop_test.csv
208.29,41.4,4.98,3.94,240,25,noop_test.csv
197.07,39.0,4.97,3.95,240,25,noop_test.csv
207.07,41.29,4.97,3.92,240,25,noop_test.csv
193.9,39.0,4.97,3.99,240,25,noop_test.csv
204.15,42.1,4.98,3.91,240,25,noop_test.csv
197.07,39.0,4.98,4.04,240,25,noop_test.csv
203.9,41.29,4.98,3.9,240,25,noop_test.csv
195.12,39.79,4.98,4.08,240,25,noop_test.csv
201.71,41.0,4.97,3.9,240,25,noop_test.csv
193.9,39.6,4.98,4.09,240,25,noop_test.csv
199.02,42.2,4.97,3.9,240,25,noop_test.csv
194.15,39.0,4.97,4.11,240,25,noop_test.csv
197.07,41.7,4.97,3.9,240,25,noop_test.csv
195.85,39.0,4.98,4.11,240,25,noop_test.csv
